text
The Godfather
The Godfather: Part II
Schindler's List
The Lord of the Rings: The Return of the King
One Flew Over the Cuckoo's Nest
Forrest Gump
The Silence of the Lambs
Casablanca
The Departed
American Beauty
Gladiator
Lawrence of Arabia
Braveheart
Amadeus
All About Eve
The Sting
Unforgiven
The Apartment
12 Years a Slave
The Bridge on the River Kwai
On the Waterfront
Rebecca
The Deer Hunter
It Happened One Night
No Country for Old Men
Platoon
Gone with the Wind
Annie Hall
The King's Speech
Million Dollar Baby
Ben-Hur
The Best Years of Our Lives
Gandhi
A Beautiful Mind
Rocky
Slumdog Millionaire
The ArtistI 
All Quiet on the Western Front
Rain Man
The Lost Weekend
SpotlightI 
In the Heat of the Night
Dances with Wolves
Patton
Midnight Cowboy
The Sound of Music
The French Connection
Argo
You Can't Take It with You
A Man for All Seasons
CrashI 
From Here to Eternity
Mutiny on the Bounty
My Fair Lady
The Last Emperor
Ordinary People
How Green Was My Valley
Hamlet
Marty
The Hurt Locker
Wings
Kramer vs. Kramer
Birdman or The Unexpected Virtue of Ignorance
West Side Story
Titanic
Mrs. Miniver
All the King's Men
Grand HotelI 
Oliver!
Driving Miss Daisy
Terms of Endearment
The English Patient
Gentleman's Agreement
Going My Way
The Life of Emile Zola
An American in Paris
Shakespeare in Love
Chariots of Fire
Chicago
Out of Africa
The Great Ziegfeld
Gigi
Tom Jones
Around the World in 80 Days
The Greatest Show on Earth
The Broadway Melody
Cavalcade
Cimarron
The Shawshank Redemption
Pulp Fiction
12 Angry Men
The Lord of the Rings: The Fellowship of the Ring
Inception
Goodfellas
Star Wars
The Lord of the Rings: The Two Towers
Raiders of the Lost Ark
It's a Wonderful Life
Sunset Blvd.
Apocalypse Now
The Godfather
The Godfather: Part II
Schindler's List
The Lord of the Rings: The Return of the King
One Flew Over the Cuckoo's Nest
Forrest Gump
The Silence of the Lambs
Casablanca
The Departed
American Beauty
Gladiator
Lawrence of Arabia
Braveheart
Amadeus
All About Eve
The Sting
Unforgiven
The Apartment
12 Years a Slave
The Bridge on the River Kwai
On the Waterfront
Rebecca
The Deer Hunter
It Happened One Night
No Country for Old Men
Platoon
Gone with the Wind
Annie Hall
The King's Speech
Million Dollar Baby
Ben-Hur
The Best Years of Our Lives
Gandhi
A Beautiful Mind
Rocky
Slumdog Millionaire
The ArtistI 
All Quiet on the Western Front
Rain Man
The Lost Weekend
SpotlightI 
In the Heat of the Night
Dances with Wolves
Patton
Midnight Cowboy
The Sound of Music
The French Connection
Argo
You Can't Take It with You
A Man for All Seasons
CrashI 
From Here to Eternity
Mutiny on the Bounty
My Fair Lady
The Last Emperor
Ordinary People
How Green Was My Valley
Hamlet
Marty
The Hurt Locker
Wings
Kramer vs. Kramer
Birdman or The Unexpected Virtue of Ignorance
West Side Story
Titanic
Mrs. Miniver
All the King's Men
Grand HotelI 
Oliver!
Driving Miss Daisy
Terms of Endearment
The English Patient
Gentleman's Agreement
Going My Way
The Life of Emile Zola
An American in Paris
Shakespeare in Love
Chariots of Fire
Chicago
Out of Africa
The Great Ziegfeld
Gigi
Tom Jones
Around the World in 80 Days
The Greatest Show on Earth
The Broadway Melody
Cavalcade
Cimarron
The Shawshank Redemption
Pulp Fiction
12 Angry Men
The Lord of the Rings: The Fellowship of the Ring
Inception
Goodfellas
Star Wars
The Lord of the Rings: The Two Towers
Raiders of the Lost Ark
It's a Wonderful Life
Sunset Blvd.
Apocalypse Now
Saving Private Ryan
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Citizen Kane
The Pianist
La vita è bella
Django Unchained
Taxi Driver
Double Indemnity
Toy Story 3
The Green Mile
Whiplash
The Great Dictator
A Clockwork Orange
The Wolf of Wall Street
To Kill a Mockingbird
The Treasure of the Sierra Madre
L.A. Confidential
Chinatown
Raging Bull
Witness for the Prosecution
Inglourious Basterds
Mr. Smith Goes to Washington
Up
The Elephant Man
The Maltese Falcon
Fargo
The Sixth Sense
Jaws
Her
Good Will Hunting
Butch Cassidy and the Sundance Kid
The Wizard of Oz
RoomI 
High Noon
The Imitation Game
The Grapes of Wrath
There Will Be Blood
The Grand Budapest Hotel
Gravity
Network
Dog Day Afternoon
Black Swan
The Graduate
Who's Afraid of Virginia Woolf?
Mad Max: Fury Road
The Hustler
Anatomy of a Murder
Life of Pi
The Exorcist
Barry Lyndon
In the Name of the Father
Roman Holiday
District 9
A Streetcar Named Desire
Beauty and the Beast
Mystic River
The Help
Judgment at Nuremberg
The Red Shoes
Z
The Ox-Bow Incident
Bonnie and Clyde
Doctor Zhivago
The Philadelphia Story
All the President's Men
The Last Picture Show
The Adventures of Robin Hood
The Heiress
The Thin Man
La Grande Illusion
I Am a Fugitive from a Chain Gang
Cat on a Hot Tin Roof
The Conversation
The Lion in Winter
Great Expectations
Avatar
JFK
E.T. the Extra-Terrestrial
The Martian
Stagecoach
The Quiet Man
The Magnificent Ambersons
Ninotchka
Dallas Buyers Club
The Social Network
Captain Phillips
The Little Foxes
The Right Stuff
Secrets & Lies
The Insider
BoyhoodI 
The Remains of the Day
The Revenant
Little Miss Sunshine
The Killing Fields
Silver Linings Playbook
Hannah and Her Sisters
Viskningar och rop
Wo hu cang long
The FighterI 
The Awful Truth
Mr. Deeds Goes to Town
Amour
Letters from Iwo Jima
Pygmalion
The Caine Mutiny
